-39	1011001	FFFFFFD9
-36	1011100	FFFFFFDC
8	1000	8
34	100010	22
17	10001	11
49	110001	31
5	101	5
39	100111	27
0	0	0
33	100001	21
12	1100	C
-6	1010	FFFFFFFA
27	11011	1B
-4	1100	FFFFFFFC
-38	1011010	FFFFFFDA
26	11010	1A
49	110001	31
29	11101	1D
42	101010	2A
-16	110000	FFFFFFF0
-28	100100	FFFFFFE4
34	100010	22
20	10100	14
0	0	0
25	11001	19
45	101101	2D
3	11	3
-46	1010010	FFFFFFD2
-46	1010010	FFFFFFD2
29	11101	1D
33	100001	21
29	11101	1D
26	11010	1A
-5	1011	FFFFFFFB
-36	1011100	FFFFFFDC
12	1100	C
45	101101	2D
-50	1001110	FFFFFFCE
0	0	0
-6	1010	FFFFFFFA
-39	1011001	FFFFFFD9
35	100011	23
26	11010	1A
-35	1011101	FFFFFFDD
-42	1010110	FFFFFFD6
14	1110	E
-3	101	FFFFFFFD
22	10110	16
-47	1010001	FFFFFFD1
12	1100	C
-17	101111	FFFFFFEF
-31	100001	FFFFFFE1
-25	100111	FFFFFFE7
-35	1011101	FFFFFFDD
-18	101110	FFFFFFEE
14	1110	E
37	100101	25
-8	11000	FFFFFFF8
-41	1010111	FFFFFFD7
-50	1001110	FFFFFFCE
-9	10111	FFFFFFF7
2	10	2
12	1100	C
-39	1011001	FFFFFFD9
-17	101111	FFFFFFEF
0	0	0
27	11011	1B
28	11100	1C
45	101101	2D
-44	1010100	FFFFFFD4
28	11100	1C
35	100011	23
-33	1011111	FFFFFFDF
43	101011	2B
-4	1100	FFFFFFFC
23	10111	17
-49	1001111	FFFFFFCF
49	110001	31
-7	1001	FFFFFFF9
-38	1011010	FFFFFFDA
-45	1010011	FFFFFFD3
5	101	5
-21	101011	FFFFFFEB
26	11010	1A
-2	110	FFFFFFFE
-24	101000	FFFFFFE8
6	110	6
-45	1010011	FFFFFFD3
-4	1100	FFFFFFFC
15	1111	F
0	0	0
-17	101111	FFFFFFEF
-35	1011101	FFFFFFDD
43	101011	2B
45	101101	2D
-35	1011101	FFFFFFDD
-8	11000	FFFFFFF8
28	11100	1C
47	101111	2F
34	100010	22
-24	101000	FFFFFFE8
-42	1010110	FFFFFFD6
-13	10011	FFFFFFF3
14	1110	E
-45	1010011	FFFFFFD3
-35	1011101	FFFFFFDD
27	11011	1B
-12	10100	FFFFFFF4
-19	101101	FFFFFFED
-20	101100	FFFFFFEC
-14	10010	FFFFFFF2
20	10100	14
30	11110	1E
12	1100	C
-36	1011100	FFFFFFDC
-47	1010001	FFFFFFD1
-27	100101	FFFFFFE5
-3	101	FFFFFFFD
6	110	6
36	100100	24
9	1001	9
-16	110000	FFFFFFF0
36	100100	24
-27	100101	FFFFFFE5
7	111	7
-6	1010	FFFFFFFA
-5	1011	FFFFFFFB
5	101	5
47	101111	2F
23	10111	17
-48	1010000	FFFFFFD0
-24	101000	FFFFFFE8
40	101000	28
-4	1100	FFFFFFFC
-18	101110	FFFFFFEE
-19	101101	FFFFFFED
14	1110	E
15	1111	F
1	1	1
24	11000	18
-9	10111	FFFFFFF7
-50	1001110	FFFFFFCE
18	10010	12
15	1111	F
30	11110	1E
44	101100	2C
9	1001	9
19	10011	13
33	100001	21
41	101001	29
-24	101000	FFFFFFE8
43	101011	2B
48	110000	30
-23	101001	FFFFFFE9
7	111	7
28	11100	1C
8	1000	8
-2	110	FFFFFFFE
37	100101	25
42	101010	2A
-17	101111	FFFFFFEF
-6	1010	FFFFFFFA
36	100100	24
22	10110	16
27	11011	1B
31	11111	1F
-47	1010001	FFFFFFD1
-43	1010101	FFFFFFD5
0	0	0
27	11011	1B
30	11110	1E
12	1100	C
-15	10001	FFFFFFF1
-19	101101	FFFFFFED
-42	1010110	FFFFFFD6
-37	1011011	FFFFFFDB
31	11111	1F
-10	10110	FFFFFFF6
18	10010	12
33	100001	21
-15	10001	FFFFFFF1
17	10001	11
25	11001	19
-25	100111	FFFFFFE7
-5	1011	FFFFFFFB
33	100001	21
-13	10011	FFFFFFF3
33	100001	21
-10	10110	FFFFFFF6
47	101111	2F
47	101111	2F
-13	10011	FFFFFFF3
-32	1100000	FFFFFFE0
1	1	1
1	1	1
-25	100111	FFFFFFE7
-33	1011111	FFFFFFDF
16	10000	10
17	10001	11
4	100	4

Elapsed Time: 0.000280 seconds
